Hora,Temperatura
13:38:53,30.75
13:39:04,30.80
13:39:15,30.70
13:39:26,30.93
13:39:37,30.82
13:39:48,30.77
13:39:59,31.07
13:40:10,31.27
13:40:21,31.60
13:40:33,32.20
13:40:44,32.90
13:40:55,33.62
13:41:06,34.83
13:41:17,36.30
13:41:28,37.85
13:41:39,39.58
13:41:50,41.55
13:42:01,44.08
13:42:12,46.38
13:42:23,48.70
13:42:34,51.45
13:42:46,54.35
13:42:57,57.02
13:43:08,59.85
13:43:19,62.77
13:43:30,65.75
13:43:41,68.75
13:43:52,71.75
13:44:03,74.58
13:44:14,77.53
13:44:25,80.42
13:44:36,83.38
13:44:48,86.28
13:44:59,89.00
13:45:10,91.50
13:45:21,94.30
13:45:32,96.70
13:45:43,99.50
13:45:54,102.00
13:46:05,104.50
13:46:16,106.67
13:46:27,109.30
13:46:39,111.65
13:46:50,114.12
13:47:01,116.30
13:47:12,118.25
13:47:23,120.03
13:47:34,121.88
13:47:45,123.83
13:47:56,126.05
13:48:07,128.18
13:48:18,130.38
13:48:30,132.35
13:48:41,133.80
13:48:52,134.90
13:49:03,136.78
13:49:14,138.78
13:49:25,141.12
13:49:36,143.18
13:49:47,145.20
13:49:58,146.50
13:50:09,147.45
13:50:21,148.43
13:50:32,150.05
13:50:43,151.80
13:50:54,153.60
13:51:05,155.65
13:51:16,157.43
13:51:27,158.80
13:51:38,160.03
13:51:49,161.15
13:52:00,162.50
13:52:11,163.85
13:52:23,165.38
13:52:34,166.18
13:52:45,166.78
13:52:56,167.90
13:53:07,169.62
13:53:18,171.32
13:53:29,172.53
13:53:40,173.82
13:53:51,175.05
13:54:02,176.10
13:54:13,177.43
13:54:25,178.95
13:54:36,180.20
13:54:47,181.35
13:54:58,182.35
13:55:09,182.85
13:55:20,182.82
13:55:31,183.03
13:55:42,184.07
13:55:53,185.43
13:56:05,187.10
13:56:16,188.72
13:56:27,189.62
13:56:38,189.88
13:56:49,190.93
13:57:00,192.60
13:57:11,194.18
13:57:22,195.85
13:57:33,196.88
13:57:44,197.43
13:57:55,197.72
13:58:06,198.30
13:58:18,199.32
13:58:29,200.68
13:58:40,202.28
13:58:51,203.75
13:59:02,205.28
13:59:13,206.53
13:59:24,207.68
13:59:35,208.43
13:59:46,209.45
13:59:58,210.68
14:00:09,211.35
14:00:20,211.85
14:00:31,212.53
14:00:42,213.30
14:00:53,214.28
14:01:04,215.28
14:01:15,216.38
14:01:26,217.47
14:01:37,218.88
14:01:48,219.85
14:01:59,220.70
14:02:11,221.38
14:02:22,222.55
14:02:33,223.88
14:02:44,224.93
14:02:55,226.15
14:03:06,227.28
14:03:17,228.22
14:03:28,229.15
14:03:39,229.88
14:03:50,230.47
14:04:01,231.22
14:04:12,231.93
14:04:24,232.45
14:04:35,233.18
14:04:46,233.95
14:04:57,234.93
14:05:08,235.72
14:05:19,236.43
14:05:30,236.82
14:05:41,237.38
14:05:52,238.40
14:06:03,238.93
14:06:15,239.70
14:06:26,240.55
14:06:37,241.47
14:06:48,242.35
14:06:59,242.95
14:07:10,243.75
14:07:21,244.15
14:07:32,243.97
14:07:43,244.25
14:07:55,244.62
14:08:06,244.80
14:08:17,245.78
14:08:28,246.68
14:08:39,247.60
14:08:50,248.72
14:09:01,249.40
14:09:12,250.07
14:09:23,250.88
14:09:34,251.75
14:09:45,252.82
14:09:57,253.18
14:10:08,253.85
14:10:19,254.30
14:10:30,255.20
14:10:41,256.10
14:10:52,256.70
14:11:03,257.32
14:11:14,257.75
14:11:25,258.35
14:11:36,259.05
14:11:47,259.18
14:11:59,259.52
14:12:10,260.05
14:12:21,260.20
14:12:32,260.45
14:12:43,261.05
14:12:54,261.75
14:13:05,262.62
14:13:16,263.40
14:13:27,263.70
14:13:38,264.12
14:13:49,265.12
14:14:00,266.07
14:14:12,267.20
14:14:23,267.82
14:14:34,268.30
14:14:45,268.73
14:14:56,269.23
14:15:07,269.15
14:15:18,269.55
14:15:29,269.65
14:15:40,269.77
14:15:51,270.45
14:16:03,270.93
14:16:14,271.43
14:16:25,271.52
14:16:36,271.65
14:16:47,272.18
14:16:58,272.73
14:17:09,273.32
14:17:20,274.05
14:17:32,273.98
14:17:43,273.62
14:17:54,273.45
14:18:05,273.73
14:18:16,274.52
14:18:27,275.15
14:18:38,275.52
14:18:49,276.05
14:19:01,276.73
14:19:12,277.00
14:19:23,277.23
14:19:34,277.62
14:19:45,278.35
14:19:56,278.80
14:20:07,278.65
14:20:18,278.68
14:20:29,279.18
14:20:40,279.65
14:20:51,280.07
14:21:03,280.55
14:21:14,281.23
14:21:25,281.95
14:21:36,282.00
14:21:47,281.52
14:21:58,281.82
14:22:09,282.77
14:22:20,283.93
14:22:31,284.98
14:22:42,285.93
14:22:54,286.98
14:23:05,287.85
14:23:16,288.75
14:23:27,289.62
14:23:38,290.23
14:23:49,290.82
14:24:00,291.43
14:24:11,291.75
14:24:22,292.18
14:24:33,292.40
14:24:44,292.90
14:24:55,293.10
14:25:07,293.45
14:25:18,293.73
14:25:29,293.98
14:25:40,294.30
14:25:52,294.60
14:26:03,294.75
14:26:14,294.82
14:26:25,295.12
14:26:36,295.50
14:26:47,295.68
14:26:58,295.98
14:27:09,296.15
14:27:20,296.32
14:27:31,296.43
14:27:43,296.62
14:27:54,296.70
14:28:05,297.05
14:28:16,297.12
14:28:27,297.50
14:28:38,297.73
14:28:49,297.82
14:29:00,297.90
14:29:11,298.23
14:29:22,298.27
14:29:33,298.57
14:29:44,298.55
14:29:56,298.85
14:30:07,298.95
14:30:18,299.38
14:30:29,299.60
14:30:40,299.55
14:30:51,299.40
14:31:02,299.23
14:31:13,298.88
14:31:24,298.48
14:31:35,297.55
14:31:46,296.65
14:31:57,295.62
14:32:09,294.38
14:32:20,293.23
14:32:31,291.80
14:32:42,290.50
14:32:53,288.93
14:33:04,287.25
14:33:15,285.75
14:33:26,284.15
14:33:37,282.48
14:33:49,280.77
14:34:00,279.40
14:34:11,277.85
14:34:22,276.20
14:34:33,274.25
14:34:44,272.82
14:34:55,270.98
14:35:06,269.48
14:35:17,267.85
14:35:29,266.18
14:35:40,264.65
14:35:51,263.00
14:36:02,261.32
14:36:13,259.75
14:36:24,258.27
14:36:35,257.00
14:36:46,255.60
14:36:57,254.03
14:37:08,252.50
14:37:20,251.12
14:37:31,249.75
14:37:42,248.50
14:37:53,247.00
14:38:04,245.70
14:38:16,244.32
14:38:27,243.07
14:38:38,241.72
14:38:49,240.57
14:39:00,239.15
14:39:11,237.95
14:39:22,236.68
14:39:33,235.38
14:39:44,234.22
14:39:55,232.82
14:40:06,231.90
14:40:18,230.70
14:40:29,229.28
14:40:40,228.12
14:40:51,226.95
14:41:02,225.82
14:41:13,224.57
14:41:24,223.47
14:41:35,222.35
14:41:46,221.15
14:41:57,220.12
14:42:09,219.10
14:42:20,217.88
